status,runid,age,age_err,group,aliquot,sample,label_name
True,UBT,1057.0,58.0,1,0,UBT,
True,DCM,1250.0,110.0,2,0,DCM,
True,RDC,1280.0,60.0,3,0,RDC,
True,CdM1,1040.0,50.0,4,0,CdM1,
True,CdM2,1150.0,30.0,4,0,CdM2,
True,CdA,886.0,19.0,5,0,CdA,
True,CSR1,884.0,28.0,6,0,CSR1,
True,CSR2,707.0,19.0,6,0,CSR2,
True,CSL1,823.0,28.0,7,0,CSL1,
True,CSL2,692.0,15.0,7,0,CSL2,
True,CS,726.0,15.0,8,0,CS,
True,SAM1,535.0,15.0,9,0,SAM1,
True,SAM2,434.0,15.0,9,0,SAM2,
True,SM,494.0,15.0,10,0,SM,
True,CLJ,502.0,15.0,10,0,CLJ,
